placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,isBlackOwned,error
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x89c2f69c41df25d5:0xa22b898e586760cb!8m2!3d40.8437953!4d-73.9393288!16s%2Fg%2F1trchbzn!19sChIJ1SXfQZz2wokRy2BnWI6JK6I,Quest Diagnostics,3.8,110,Medical laboratory,"4071 Broadway, New York, NY 10032, United States","R3V6+G7 New York, USA",https://locations.questdiagnostics.com/ny/new-york/4071-broadway,+1 917-521-0370,"Closed ⋅ Opens 7:30 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPj2ADj_DamPAzd6gez4OMgcdZryVSfXncdTNLo=w426-h240-k-no,TRUE,40.8438125,-73.9393125,https://www.google.com/maps/search/quest+diagnostics+New+York+NY,2025-10-01T23:59:45.440Z,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x89c258586016f6d5:0x67026ecd7429d9cf!8m2!3d40.7675966!4d-73.9843344!16s%2Fg%2F11bttpxf1v!19sChIJ1fYWYFhYwokRz9kpdM1uAmc,Quest Diagnostics,2.7,129,Medical laboratory,"331 W 57th St, New York, NY 10019, United States","Q298+27 New York, USA",https://locations.questdiagnostics.com/ny/new-york/331-w-57th-street,+1 212-757-4242,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPiKLDilikGYCijXkYgBUg88fId7uLkRSrhtogV=w426-h240-k-no,TRUE,40.7675625,-73.9843125,https://www.google.com/maps/search/quest+diagnostics+New+York+NY,2025-10-01T23:59:51.167Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x89c258e53db12431:0xd94f31970dd505f1!8m2!3d40.7614978!4d-73.9698881!16s%2Fg%2F1tglzx8f!19sChIJMSSxPeVYwokR8QXVDZcxT9k,Quest Diagnostics,2.8,152,Medical laboratory,"115 E 57th St Ste 1530, New York, NY 10022, United States","Q26J+H2 New York, USA",https://locations.questdiagnostics.com/ny/new-york/115-e-57th-st,+1 212-909-8009,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPvVJzQzZqISjqmZXThpC2u_Y7pUl5xNbEkZmcb=w426-h240-k-no,TRUE,40.7614375,-73.9699375,https://www.google.com/maps/search/quest+diagnostics+New+York+NY,2025-10-01T23:59:56.446Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,8 am–4 pm,8 am–4 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x89c25a2793d42bf9:0x858849a2303c7c70!8m2!3d40.7175205!4d-74.0008145!16s%2Fg%2F1hc2h77f2!19sChIJ-SvUkydawokRcHw8MKJJiIU,Quest Diagnostics,3.9,172,Medical laboratory,"139 Centre St STE 207, New York, NY 10013, United States","PX9X+2M New York, USA",https://locations.questdiagnostics.com/ny/new-york/139-centre-st,+1 212-343-0242,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN7pzzWsFvAlK6o7fuZmtfFItODUyzq1crYmRlz=w426-h240-k-no,TRUE,40.7175625,-74.0008125,https://www.google.com/maps/search/quest+diagnostics+New+York+NY,2025-10-02T00:00:02.444Z,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–4 pm,8 am–4 pm,8 am–6:30 pm,8 am–6:30 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x89c25895020a1ec5:0x7b131898eae5d378!8m2!3d40.774061!4d-73.9623221!16s%2Fg%2F1tmz7vl3!19sChIJxR4KApVYwokReNPl6pgYE3s,Quest Diagnostics,4.2,119,Medical laboratory,"65 E 76th St, New York, NY 10021, United States","Q2FQ+J3 New York, USA",https://locations.questdiagnostics.com/ny/new-york/65-e-76th-st,+1 212-794-6400,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPRI0hE4qseKlcgHEcCLUM4s82qCV0woqf89coa=w408-h306-k-no,TRUE,40.7740625,-73.9623125,https://www.google.com/maps/search/quest+diagnostics+New+York+NY,2025-10-02T00:00:07.835Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,8 am–4 pm,8 am–4 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x80c2c6127e39e4ef:0x2eac9987f14f95bf!8m2!3d34.0511292!4d-118.2180808!16s%2Fg%2F1tmpw7gb!19sChIJ7-Q5fhLGwoARv5VP8YeZrC4,Quest Diagnostics,3.1,121,Medical laboratory,"1632 E Cesar E Chavez Ave, Los Angeles, CA 90033, United States","3Q2J+FQ Los Angeles, California, USA",https://locations.questdiagnostics.com/ca/los-angeles/1632-e.-cesar-chavez-ave,+1 213-200-8501,"Closed ⋅ Opens 6 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPfMWNyeo909pt6mlASQ4tmltSsgx4rLHMyAmWY=w426-h240-k-no,TRUE,34.0511875,-118.2180625,https://www.google.com/maps/search/quest+diagnostics+Los+Angeles+CA,2025-10-02T00:00:19.305Z,6 am–3 pm,6 am–3 pm,6 am–3 pm,Closed,Closed,6 am–3 pm,6 am–3 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x80c2c7c5e5b3f9ad:0x1ed9dda07fa5bdea!8m2!3d34.0364757!4d-118.2653972!16s%2Fg%2F1tdb4k32!19sChIJrfmz5cXHwoAR6r2lf6Dd2R4,Quest Diagnostics,3.7,136,Medical laboratory,"1414 S Grand Ave Ste 180, Los Angeles, CA 90015, United States","2PPM+HR Los Angeles, California, USA",https://locations.questdiagnostics.com/ca/los-angeles/1414-s-grand-ave,+1 213-765-0457,"Closed ⋅ Opens 7 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOHQ6A0Srew16mxOk5xCdl2xDon8VD27J6xbFYa=w426-h240-k-no,TRUE,34.0364375,-118.2654375,https://www.google.com/maps/search/quest+diagnostics+Los+Angeles+CA,2025-10-02T00:00:24.942Z,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x80c2c637e955c797:0x9190b89f911a3021!8m2!3d34.0466808!4d-118.2419722!16s%2Fg%2F1tdxw8zp!19sChIJl8dV6TfGwoARITAakZ-4kJE,Quest Diagnostics,3.5,76,Medical laboratory,"420 E 3rd St Ste 802, Los Angeles, CA 90013, United States","2QW5+M6 Los Angeles, California, USA",https://locations.questdiagnostics.com/ca/los-angeles/420-e-3rd-st,+1 213-200-2868,"Closed ⋅ Opens 8:30 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNgkqChJJd7htg2frUkSJ9_MbxQtGPAFvavaV6Q=w426-h240-k-no,TRUE,34.0466875,-118.2419375,https://www.google.com/maps/search/quest+diagnostics+Los+Angeles+CA,2025-10-02T00:00:30.300Z,8:30 am–12:30 pm,"8:30 am–12:30 pm, 1:30–4:30 pm","8:30 am–12:30 pm, 1:30–4:30 pm",Closed,Closed,"8:30 am–12:30 pm, 1:30–4:30 pm","8:30 am–12:30 pm, 1:30–4:30 pm",,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x80c2c7a55f5083b3:0xa8c778892c4554e3!8m2!3d34.0531289!4d-118.2639442!16s%2Fg%2F1tr7d1t1!19sChIJs4NQX6XHwoAR41RFLIl4x6g,Quest Diagnostics,3.4,144,Medical laboratory,"1127 Wilshire Blvd Suite 203-204, Los Angeles, CA 90017, United States","3P3P+7C Los Angeles, California, USA",https://locations.questdiagnostics.com/ca/los-angeles/1127-wilshire-blvd,+1 213-977-0164,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPw4NNUn18EeJFH-7KZwpMtty_JgYNvDMK669pV=w426-h240-k-no,TRUE,34.0531875,-118.2639375,https://www.google.com/maps/search/quest+diagnostics+Los+Angeles+CA,2025-10-02T00:00:35.859Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x80c2ba67b5ceabc5:0x6a2350ad4e71e8bc!8m2!3d33.9987207!4d-118.4287085!16s%2Fg%2F11f40zxh85!19sChIJxavOtWe6woARvOhxTq1QI2o,Quest Diagnostics,2.8,244,Medical laboratory,"4036 S Centinela Ave, Los Angeles, CA 90066, United States","XHXC+FG Los Angeles, California, USA",https://locations.questdiagnostics.com/ca/los-angeles/4036-s-centinela-ave,+1 424-526-7498,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRh35MC2C-IvAuck4yK-AuWYEPQ-GIgDof-63RWtTY0mnOJSewJvLLtg95ubjmr3cokLCSctgg3j018mgY7g5rTar_FwnAL-jQbMU-Di-gyanLPs00gi5-ezpF3z1kNYL_ilvB=w408-h306-k-no,TRUE,33.99875,-118.42875,https://www.google.com/maps/search/quest+diagnostics+Los+Angeles+CA,2025-10-02T00:00:41.303Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x880e2ca598944d19:0xd2e55712b9a48825!8m2!3d41.8838736!4d-87.6257285!16s%2Fg%2F1tdgvzwp!19sChIJGU2UmKUsDogRJYikuRJX5dI,Quest Diagnostics,3.1,134,Medical laboratory,"111 N Wabash Ave STE 1514, Chicago, IL 60602, United States","V9MF+GP Chicago, Illinois, USA",https://locations.questdiagnostics.com/il/chicago/111-n-wabash-ave,+1 312-332-5960,"Closed ⋅ Opens 7 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipP-rs592_QQtchqIhwNdhwCLFa4uKEfA9_SFoaS=w426-h240-k-no,TRUE,41.8838125,-87.6256875,https://www.google.com/maps/search/quest+diagnostics+Chicago+IL,2025-10-02T00:00:52.525Z,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x880fd3252837df99:0x2973bc864d1bcf6!8m2!3d41.9081967!4d-87.6483798!16s%2Fg%2F11b6sn7d45!19sChIJmd83KCXTD4gR9rzRZMg7lwI,Quest Diagnostics,3.3,125,Medical laboratory,"1460 N Halsted St Ste 201, Chicago, IL 60642, United States","W952+7J Chicago, Illinois, USA",https://locations.questdiagnostics.com/il/chicago/1460-n-halsted-st,+1 224-301-4687,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN5BYXow0szpEndBX40kfhnVpy7hXxwOaQcOTYE=w426-h240-k-no,TRUE,41.9081875,-87.6484375,https://www.google.com/maps/search/quest+diagnostics+Chicago+IL,2025-10-02T00:00:58.105Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,7 am–1 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,,,
https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x880fcc476abb6f11:0x1fa2695575c278d1!8m2!3d41.9558195!4d-87.7508647!16s%2Fg%2F1tfl0tbn!19sChIJEW-7akfMD4gR0XjCdVVpoh8,Quest Diagnostics,3.8,150,Medical laboratory,"4126 N Milwaukee Ave, Chicago, IL 60641, United States","X64X+8M Chicago, Illinois, USA",https://locations.questdiagnostics.com/il/chicago/4126-n-milwaukee-ave,+1 773-736-3814,"Closed ⋅ Opens 6 am Thu

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO4aOIQsSAFeHnocnodyc1cWP_IZ75GB9VckhAC=w426-h240-k-no,TRUE,41.9558125,-87.7508125,https://www.google.com/maps/search/quest+diagnostics+Chicago+IL,2025-10-02T00:01:03.617Z,6 am–3:30 pm,6 am–3:30 pm,6 am–3:30 pm,7 am–12 pm,Closed,6 am–3:30 pm,6 am–3:30 pm,,,
